Degree,Part#,Supplier,Current Stock,Comparison,Notes,Order,Webpage,Suggest List Price/1,Location,Amount for HAZL,Amount for MAZL
Straight Steel Adapter Swivel 6 JIC,6504-6-6,Federal Fluid Power,7,UNKWN,AC,,,,,,
Straight Steel Adapter Swivel 4 JIC,6504-4-4,Federal Fluid Power,18,UNKWN,AC,,,,,,
"Straight Adapter - 1-1/4 in Male JIC 37 Degree Flare x 1-1/4 in Male JIC 37 Degree Flare, Steel",2403-20-20,Federal Fluid Power,7,UNKWN,AC,,,,,,
"Hydraulic O-Ring Hollow Hex Head Plug | 1-7/8-12 Male O-Ring Boss | Steel, (SAE) 1-7/8” 12 Thread",6408-24,Federal Fluid Power,3,UNKWN,AC,,,,,,
Hydraulic O-Ring Hollow Hex Head Plug | 16,6408-16,Federal Fluid Power,11,UNKWN,AC,,,,,,
Hydraulic O-Ring Hollow Hex Head Plug | 8,6408-8,Federal Fluid Power,67,UNKWN,AC,,,,,,
MORB Hollow Hex Plug,6408-20,Federal Fluid Power,9,UNKWN,AC,,,,,,
"1 5/8""-12 SAE, AA6351-T6 ALUMINUM WELD FLANGE",WFA-20-AL,LENZ,18,UNKWN,AC,,https://mail.lenzinc.com/product/wfa-20-al,,,,
20MAORB-20FPS 90 ELBOW FORGED,6901-20-20,Federal Fluid Power,0,UNKWN,AC,,https://brennaninc.com/fittings/tube-fittings-and-adapters/6901-nwo-fg/,,,,
STRAIGHT REDUCER FJ-MJ,6400-20-24,Federal Fluid Power,1,UNKWN,AC,,https://www.motion.com/products/sku/00316877?srsltid=AfmBOoqRo2_2PVLmYQ-1XDO1Ks9wB1Iiz7uFAjjRDLr9v2PzGa9SOIA1,$39.16,,,
Size 20-20 JIC Reducer,2406-20-20,Federal Fluid Power,16,UNKWN,AC,,,,,,
Size 16-16 JIC Reducer,2406-16-16,Federal Fluid Power,15,UNKWN,AC,,,,,,
Male NPTF x20-16 Female NPTF Hex Reducer Bushing,5406-20-16,Federal Fluid Power,9,UNKWN,AC,,,,,,
Male NPTF x12-4 Female NPTF Hex Reducer Bushing,5406-12-4,Federal Fluid Power,1,UNKWN,AC,,,,,,
Male NPTF x6 Female NPTF Hex Reducer Bushing,5406-6,Federal Fluid Power,29,UNKWN,AC,,,,,,
Male NPTF x4 Female NPTF Hex Reducer Bushing,5406-4,Federal Fluid Power,49,UNKWN,AC,,,,,,
Male NPTF x8 Female NPTF Hex Reducer Bushing,5406-8,Federal Fluid Power,3,UNKWN,AC,,,,,,
"90 Degree Elbow 1-1/2"" NPTF Male x 1-1/4"" NPSM Swivel",1501-24-20,Federal Fluid Power,4,UNKWN,AC,,https://www.titanfittings.com/adapters-and-fittings/hydraulic-adapters/steel-hydraulic-adapters/npt-female-swivel-npsm/1501/90-elbow-1-1-2-nptf-male-x-1-1-4-npsm-swivel?srsltid=AfmBOopuyLLKpJW0PlFxMS6-zskDQJ30bb_7-jNRdQgVCfCFQA98whSn,$46.79,,,
Size 32 JIC Male Connector,2404-32,Federal Fluid Power,15,UNKWN,AC,,https://www.onehydraulics.com/products/2404-32-32?srsltid=AfmBOoo0aJkVc9cjb3LbSxDsqe_4U6EYvfC70a4-CzVLkeMvflAIZGq5,,,,
20 JIC Male Plug,2408-20,Federal Fluid Power,7,UNKWN,AC,,https://www.surpluscenter.com/Hydraulics/Hydraulic-Adapters-Fittings/Plugs-Caps/JIC-PLugs/JIC-20-Male-Plug-2408-20-9-2408-20.axd,$4.90,,,
6 JIC Male Plug,2408-6,Federal Fluid Power,58,UNKWN,AC,,,,,,
4 JIC Male Plug,2408-4,Federal Fluid Power,79,UNKWN,AC,,,,,,
8 JIC Male Plug,2408-8,Federal Fluid Power,1,UNKWN,AC,,,,,,
16 JIC Male Plug,2408-16,Federal Fluid Power,21,UNKWN,AC,,,,,,
12 JIC Male Plug,2408-12,Federal Fluid Power,66,UNKWN,AC,,,,,,
"Straight Adapter - 1-in Male JIC 37 Degree Flare x 1-in Male JIC 37 Degree Flare, Steel | 16",2403-16-16,Federal Fluid Power,30,UNKWN,AC,,https://brennaninc.com/fittings/tube-fittings-and-adapters/2403/,$14.03,,,
"Straight Adapter - 6 Male JIC 37 Degree Flare x 6 Male JIC 37 Degree Flare, Steel | 6",2403-6-6,Federal Fluid Power,15,UNKWN,AC,,,,,,
"Straight Adapter - 4-2 Male JIC 37 Degree Flare x 4-2 Male JIC 37 Degree Flare, Steel | 4-2",2403-4-2,Federal Fluid Power,50,UNKWN,AC,,,,,,
"Straight Adapter - 4 Male JIC 37 Degree Flare x 4 Male JIC 37 Degree Flare, Steel | 4",2403-4-4,Federal Fluid Power,40,UNKWN,AC,,,,,,
Branch Tee 16 Male JIC Bulkhead,2703-16-16-16,Federal Fluid Power,5,UNKWN,AC,,,,,,
Branch Tee 4 Male JIC Bulkhead,2703-4-4-4,Federal Fluid Power,16,UNKWN,AC,,,,,,
16 JIC Hex Pipe Nipple Union,5404-16-16,Federal Fluid Power,6,NO USE,AC,,,,,,
Size 16-12 JIC Male Connector,2404-16-12,Federal Fluid Power,25,UNKWN,AC,,,,,,
Size 12-6 O-Ring to Pipe Adapter,6401-12-6,Federal Fluid Power,1,UNKWN,AC,,,,,,
Size 12-6 JIC Male Connector,5404-12-6,Federal Fluid Power,3,UNKWN,AC,,,,,,
Size 4 JIC Male Connector,5404-4-4,Federal Fluid Power,18,UNKWN,AC,,,,,,
Size 4-2 JIC Male Connector,5404-4-2,Federal Fluid Power,8,UNKWN,AC,,,,,,
Size 6-8 JIC To O-Ring Branch Tee,6803-6-8,Federal Fluid Power,6,UNKWN,AC,,,,,,
Size 4-4-6 JIC To O-Ring Branch Tee,6803-4-4-6,Federal Fluid Power,7,UNKWN,AC,,,,,,
Size 12 JIC To O-Ring Branch Tee,6803-12-12-12,Federal Fluid Power,21,UNKWN,AC,,,,,,
Size 12-12-10 JIC To O-Ring Branch Tee,6803-12-12-10,Federal Fluid Power,4,UNKWN,AC,,,,,,
Size 12 JIC 45 Degree Elbow,220954,Federal Fluid Power,2,UNKWN,AC,,https://www.onehydraulics.com/products/2504-12-12-fg?srsltid=AfmBOopgJD8-At84kHipIqmQ3bkLRRFbHtFjJlEs-O8ESMomAkYcaCdK,,,,
Size 12-20 JIC To O-Ring Connector,1643947,Federal Fluid Power,2,UNKWN,AC,,,,,,
Size 12-16 JIC To O-Ring Connector,1643943,Federal Fluid Power,2,UNKWN,AC,,,,,,
Size 6 JIC Male Elbow 90 Degree,5500-6-6,Federal Fluid Power,18,UNKWN,AC,,,,,,
"2502-04-04 | #4 MALE JIC X 1/4"" FEMALE PIPE 90 DEGREE ELBOW | 2502-4-4",2502-4-4,Federal Fluid Power,20,UNKWN,AC,,,,,,
Female 37 Degree 4-6 JIC Swivel x Female NPTF,6506-4-6,Federal Fluid Power,41,UNKWN,AC,,,,,,
Female 37 Degree 4 JIC Swivel x Female NPTF,6506-4-4,Federal Fluid Power,19,UNKWN,AC,,,,,,
"Bulkhead Straight Adapter - 1/4 in Male Pipe Rigid x 1/4 in Male JIC 37 Degree Flare, Stainless Steel",2706-4-4,Federal Fluid Power,7,UNKWN,AC,,,,,,
Size 4-2 JIC Male Elbow,2501-4-2,Federal Fluid Power,0,UNKWN,AC,,,,,,
1/4 Female NPTF X 1/4 Female NPTF Pipe Coupling,5000-4-4,Federal Fluid Power,5,UNKWN,AC,,,,,,
"Straight Adapter - 2 in Male JIC 37 Degree Flare x 2 in Male O-Ring Boss, Steel",6400-32-32,Federal Fluid Power,0,HAZL ONLY,AC,,https://www.motion.com/products/sku/00319052,$113.78,,,
#32 SAE/ORB Male x #32 SAE/ORB Male Adj.,6407-32-32,Federal Fluid Power,0,HAZL ONLY,AC,,https://www.discounthydraulichose.com/6407-32-32.html,$57.67,,,
Ball Valve,BVAL-2000S-4321 SAE VLV,Federal Fluid Power,0,HAZL ONLY,AC,,https://www.motion.com/products/sku/02034757,$131.35,,,
37 Degree JIC Female 90 Degree Bent Tube Swivel,FJX90-16-16-W,Federal Fluid Power,16,UNKWN,AC,,https://www.kurthydraulics.com/products/37-jic-female-90-bent-tube-swivel-50/,,,,
1616 JIC FEMALE SWIVEL 45D BENT TUBE M,F2-1616-JFS45M,Federal Fluid Power,2,UNKWN,AC,,https://flowdynamics.net/f2-1616-jfs45m-1616-jic-female-swivel-45d-bent-tube-m/,$112.21,,,
"1"" Hose x 1"" JIC 37 Degree Female Swivel",FJX-16-16,Federal Fluid Power,12,UNKWN,AC,,https://www.discounthydraulichose.com/FJX-16-16.html,$14.87,,,
"Continental Hose Fitting, 1.25 (1-1/4"") Hose ID, 1-5/8-12 Female JIC, 45-Degree, Swivel Connection",UC-JCFX45-2020,Federal Fluid Power,16,UNKWN,AC,,https://www.onehydraulics.com/products/uc-jcfx45-2020t-continental-hose-fitting-1-25-1-1-4-hose-id-1-5-8-12-female-jic-45-degree-swivel-connection,$96.30,,,
Uni-Crimp Ferrule,UCF6-20,Federal Fluid Power,24,UNKWN,AC,,https://boschhydraulic.com/uni-crimp-ferrule-ucf6-20/,,,,
"1-1/4"" Hose x 1-1/4"" JIC 37 Degree Female Swivel",FJX-20-20,Federal Fluid Power,3,UNKWN,AC,,https://www.discounthydraulichose.com/FJX-20-20.html,$36.97,,,
37 Degree JIC Female 90 Degree Bent Tube Swivel,FJX90-20-20,Federal Fluid Power,1,UNKWN,AC,,https://www.kurthydraulics.com/products/37-jic-female-90-bent-tube-swivel-52/,,,,
"1-1/4"" CRIMP INSERT WITH 1” FEMALE BSP PARALLEL THREAD",50026-20-16,Federal Fluid Power,2,UNKWN,AC,,,,,,
16 JIC Male 45 Degree Elbow,2503-16,Federal Fluid Power,2,UNKWN,AC,,,,,,
Branch Tee 16 Male JIC Bulkhead,2703-12-12-12,Federal Fluid Power,0,UNKWN,AC ,5,,,,,
Size 12-16 JIC Female Connector,184799,Federal Fluid Power,1,UNKWN,AC,,,,,,
Zinga - Filter Element Spin-On 10 Micron Aqua-Zorb Length 10.9” Thread 1-1/2” 16 LE Series,LE-10AZ,Federal Fluid Power,0,Shared btwn HAZL AND MAZL,AC,,,,,2,1
"Crimp Hose Fitting - SAE 37 Degree JIC F – 90 Degree Tube Elbow - 3/8 ID, 9/16-18 Thread",i6-90-HC,Federal Fluid Power,1,UNKWN,AC,,https://www.baileyhydraulics.com/Crimp-Fittings-SAE-37-JIC-Female-90-Tube-Elbow-3-8-14-ID-9-16-18-Thread/,,,,
"3/4"" Hose x 3/4"" JIC (1 1/16""-12 thread) 37 Degree Male Rigid crimp fitting",TS4-MJ-12-12,Federal Fluid Power,3,UNKWN,AC,,https://www.titanfittings.com/3-4-hose-x-3-4-jic-1-1-16-12-thread-37-male-rigid-crimp-fitting-en-2?gQT=2,,,,
Male JIC to Female JIC Swivel Bent Tube 45 Degree Elbow,i6702-6-6,Federal Fluid Power,2,UNKWN,AC,,https://www.shopbbhydraulics.com/products/6702-male-jic-to-female-jic-swivel-bent-tube-45-degree-elbow,,,,
Hydraulic Flow Divider/Combiner Valve,SN-FDA-00-5040-S,Federal Fluid Power,2,UNKWN,AC ,2,,,,,
12 JIC - 12 JIC Swivel Elbow Extension,90-Extension-12-12,Federal Fluid Power,3,UNKWN,AC,,,,,,
Swivel Caster 7000 12” PNEUMATIC,S-7012-PRB,Federal Fluid Power,2,UNKWN,AC,,,,,,
PNEUMATIC 12X4.10/3.50-6 1BB,W-12-PRB-1,Federal Fluid Power,6,UNKWN,AC,,,,,,
SPACER 1X1-1/4X11/16LG,350220,Federal Fluid Power,12,UNKWN,AC,,,,,,
BUSH SPNR 3/4X1X4-34 HG(SB-19),340310,Federal Fluid Power,12,UNKWN,AC,,,,,,
